,sentence,gold
35,तत्र आद्याः मारुतम् घ्नन्ति त्रयः .,"{'tokens': ['तत्र', 'आद्याः', 'मारुतम्', 'घ्नन्ति', 'त्रयः', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '7'], 'label': 'No_rel'}, {'span': ['4', '7'], 'label': 'No_rel'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
36,तिक्तआदयः कफम् (घ्नन्ति) .,"{'tokens': ['तिक्तआदयः', 'कफम्', '(घ्नन्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'बहुव्रीहिः'}, {'span': ['2', '6'], 'label': 'Comp_root'}, {'span': ['3', '6'], 'label': 'No_rel'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
37,कषायतिक्तमधुराः पित्तम् (घ्नन्ति) .,"{'tokens': ['कषायतिक्तमधुराः', 'पित्तम्', '(घ्नन्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '7'], 'label': 'Comp_root'}, {'span': ['4', '7'], 'label': 'No_rel'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
38,अन्ये तु कुर्वते .,"{'tokens': ['अन्ये', 'तु', 'कुर्वते', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
39,शमनम् कोपनम् स्वस्थहितम् द्रव्यम् इति त्रिधा (अस्ति) .,"{'tokens': ['शमनम्', 'कोपनम्', 'स्वस्थहितम्', 'द्रव्यम्', 'इति', 'त्रिधा', '(अस्ति)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'चतुर्थी-तत्पुरुषः'}, {'span': ['4', '10'], 'label': 'Comp_root'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
40,उष्णशीतगुणउत्कर्षात् तत्र वीर्यम् द्विधा स्मृतम् .,"{'tokens': ['उष्णशीतगुणउत्कर्षात्', 'तत्र', 'वीर्यम्', 'द्विधा', 'स्मृतम्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'कर्मधारयः'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '10'], 'label': 'Comp_root'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
41,त्रिधा विपाकः द्रव्यस्य स्वादुअम्लकटुकआत्मकः (अस्ति) .,"{'tokens': ['त्रिधा', 'विपाकः', 'द्रव्यस्य', 'स्वादुअम्लकटुकआत्मकः', '(अस्ति)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'षष्ठी-बहुव्रीहिः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
42,सविपर्ययाः ससूक्ष्मविशदाः गुरुमन्दहिमस्निग्धश्लक्ष्णसान्द्रमृदुस्थिराः विंशतिः गुणाः (सन्ति) .,"{'tokens': ['सविपर्ययाः', 'ससूक्ष्मविशदाः', 'गुरुमन्दहिमस्निग्धश्लक्ष्णसान्द्रमृदुस्थिराः', 'विंशतिः', 'गुणाः', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'सहपूर्वपद-व्यधिकरण-बहुव्रीहिः'}, {'span': ['2', '18'], 'label': 'Comp_root'}, {'span': ['3', '4'], 'label': 'सहपूर्वपद-व्यधिकरण-बहुव्रीहिः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '18'], 'label': 'Comp_root'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['8', '9'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['9', '10'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['10', '11'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['11', '12'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['12', '13'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['13', '18'], 'label': 'Comp_root'}, {'span': ['14', '18'], 'label': 'No_rel'}, {'span': ['15', '18'], 'label': 'No_rel'}, {'span': ['16', '18'], 'label': 'No_rel'}, {'span': ['17', '18'], 'label': 'No_rel'}, {'span': ['18', '0'], 'label': 'root'}]}"
43,कालअर्थकर्मणाम् योगः हीनमिथ्याअतिमात्रकः (विज्ञेयः) रोगएककारणम् .,"{'tokens': ['कालअर्थकर्मणाम्', 'योगः', 'हीनमिथ्याअतिमात्रकः', '(विज्ञेयः)', 'रोगएककारणम्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '14'], 'label': 'Comp_root'}, {'span': ['4', '14'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'बहुव्रीहिः'}, {'span': ['8', '14'], 'label': 'Comp_root'}, {'span': ['9', '14'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['11', '12'], 'label': 'कर्मधारयः'}, {'span': ['12', '14'], 'label': 'Comp_root'}, {'span': ['13', '14'], 'label': 'No_rel'}, {'span': ['14', '0'], 'label': 'root'}]}"
44,सम्यक् योगः च विज्ञेयः आरोग्यएककारणम् .,"{'tokens': ['सम्यक्', 'योगः', 'च', 'विज्ञेयः', 'आरोग्यएककारणम्', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '9'], 'label': 'No_rel'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['6', '7'], 'label': 'कर्मधारयः'}, {'span': ['7', '9'], 'label': 'Comp_root'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
45,रोगः तु दोषवैषम्यम् (भवति) .,"{'tokens': ['रोगः', 'तु', 'दोषवैषम्यम्', '(भवति)', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '7'], 'label': 'Comp_root'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
46,दोषसाम्यम् अरोगता (भवति) .,"{'tokens': ['दोषसाम्यम्', 'अरोगता', '(भवति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['2', '7'], 'label': 'Comp_root'}, {'span': ['3', '4'], 'label': 'नञ्-तत्पुरुषः'}, {'span': ['4', '7'], 'label': 'Comp_root'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
47,निजआगन्तुविभागेन तत्र रोगाः द्विधा स्मृताः .,"{'tokens': ['निजआगन्तुविभागेन', 'तत्र', 'रोगाः', 'द्विधा', 'स्मृताः', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['3', '9'], 'label': 'Comp_root'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
48,तेषाम् कायमनःभेदात् अधिष्ठानम् अपि द्विधा (स्मृतम्) .,"{'tokens': ['तेषाम्', 'कायमनःभेदात्', 'अधिष्ठानम्', 'अपि', 'द्विधा', '(स्मृतम्)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '10'], 'label': 'Comp_root'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
49,रजः तमः च मनसः द्वौ च दोषौ उदाहृतौ .,"{'tokens': ['रजः', 'तमः', 'च', 'मनसः', 'द्वौ', 'च', 'दोषौ', 'उदाहृतौ', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
50,दर्शनस्पर्शनप्रश्नैः परीक्षेत च रोगिणम् .,"{'tokens': ['दर्शनस्पर्शनप्रश्नैः', 'परीक्षेत', 'च', 'रोगिणम्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '8'], 'label': 'Comp_root'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
51,रोगम् निदानप्राक्रूपलक्षणउपशयआप्तिभिः (परीक्षेत) .,"{'tokens': ['रोगम्', 'निदानप्राक्रूपलक्षणउपशयआप्तिभिः', '(परीक्षेत)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'केवल-समासः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
52,भूमिदेहप्रभेदेन देशम् आहुः इह द्विधा .,"{'tokens': ['भूमिदेहप्रभेदेन', 'देशम्', 'आहुः', 'इह', 'द्विधा', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['3', '9'], 'label': 'Comp_root'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
53,जाङ्गलम् वातभूयिष्ठम् अनूपम् तु कफउल्बणम् साधारणम् सममलम् त्रिधा भूदेशम् आदिशेत् .,"{'tokens': ['जाङ्गलम्', 'वातभूयिष्ठम्', 'अनूपम्', 'तु', 'कफउल्बणम्', 'साधारणम्', 'सममलम्', 'त्रिधा', 'भूदेशम्', 'आदिशेत्', '.'], 'compounds': [{'span': ['1', '16'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'सप्तमी-बहुव्रीहिः'}, {'span': ['3', '16'], 'label': 'Comp_root'}, {'span': ['4', '16'], 'label': 'No_rel'}, {'span': ['5', '16'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'सप्तमी-बहुव्रीहिः'}, {'span': ['7', '16'], 'label': 'Comp_root'}, {'span': ['8', '16'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'सप्तमी-बहुव्रीहिः'}, {'span': ['10', '16'], 'label': 'Comp_root'}, {'span': ['11', '16'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'सम्भावना-पूर्वपद-कर्मधारयः'}, {'span': ['13', '16'], 'label': 'Comp_root'}, {'span': ['14', '16'], 'label': 'No_rel'}, {'span': ['15', '16'], 'label': 'No_rel'}, {'span': ['16', '0'], 'label': 'root'}]}"
54,क्षणआदिः व्याधिअवस्था च कालः भेषजयोगकृत् (अस्ति) .,"{'tokens': ['क्षणआदिः', 'व्याधिअवस्था', 'च', 'कालः', 'भेषजयोगकृत्', '(अस्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'बहुव्रीहिः'}, {'span': ['2', '12'], 'label': 'Comp_root'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '12'], 'label': 'Comp_root'}, {'span': ['5', '12'], 'label': 'No_rel'}, {'span': ['6', '12'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['8', '9'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['9', '12'], 'label': 'Comp_root'}, {'span': ['10', '12'], 'label': 'No_rel'}, {'span': ['11', '12'], 'label': 'No_rel'}, {'span': ['12', '0'], 'label': 'root'}]}"
55,शोधनम् शमनम् च इति समासात् औषधम् द्विधा (अस्ति) .,"{'tokens': ['शोधनम्', 'शमनम्', 'च', 'इति', 'समासात्', 'औषधम्', 'द्विधा', '(अस्ति)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
