sentence,gold
स्निग्धः शीतः गुरुः मन्दः श्लक्ष्णः मृत्स्नः स्थिरः (च) (अस्ति) कफः .,"{""tokens"": [""स्निग्धः"", ""शीतः"", ""गुरुः"", ""मन्दः"", ""श्लक्ष्णः"", ""मृत्स्नः"", ""स्थिरः"", ""(च)"", ""(अस्ति)"", ""कफः"", "".""], ""compounds"": ""1\tस्निग्धः\tस्निग्धः\t12\tCompNo\t_\tNo_rel\n2\tशीतः\tशीतः\t12\tCompNo\t_\tNo_rel\n3\tगुरुः\tगुरुः\t12\tCompNo\t_\tNo_rel\n4\tमन्दः\tमन्दः\t12\tCompNo\t_\tNo_rel\n5\tश्लक्ष्णः\tश्लक्ष्णः\t12\tCompNo\t_\tNo_rel\n6\tमृत्स्नः\tमृत्स्नः\t12\tCompNo\t_\tNo_rel\n7\tस्थिरः\tस्थिरः\t12\tCompNo\t_\tNo_rel\n8\t(च)\t(च)\t12\tCompNo\t_\tNo_rel\n9\t(अस्ति)\t(अस्ति)\t12\tCompNo\t_\tNo_rel\n10\tकफः\tकफः\t12\tCompNo\t_\tNo_rel\n11\t.\t.\t12\tCompNo\t_\tNo_rel\n12\tDUMMY\t_\t0\tCompNo\t_\troot""}"
संसर्गः सन्निपातः च तत् द्वित्रिक्षयकोपतः (क्रमेण) (भवति) .,"{""tokens"": [""संसर्गः"", ""सन्निपातः"", ""च"", ""तत्"", ""द्वि"", ""त्रि"", ""क्षय"", ""कोपतः"", ""(क्रमेण)"", ""(भवति)"", "".""], ""compounds"": ""1\tसंसर्गः\tसंसर्गः\t12\tCompNo\t_\tNo_rel\n2\tसन्निपातः\tसन्निपातः\t12\tCompNo\t_\tNo_rel\n3\tच\tच\t12\tCompNo\t_\tNo_rel\n4\tतत्\tतत्\t12\tCompNo\t_\tNo_rel\n5\tद्वि-\tद्वि-त्रि-क्षय-कोपतः\t12\tCompNo\t_\tNo_rel\n6\tत्रि-\t--\t12\tCompNo\t_\tNo_rel\n7\tक्षय-\t--\t12\tCompNo\t_\tNo_rel\n8\tकोपतः\t--\t12\tCompNo\t_\tNo_rel\n9\t(क्रमेण)\t(क्रमेण)\t12\tCompNo\t_\tNo_rel\n10\t(भवति)\t(भवति)\t12\tCompNo\t_\tNo_rel\n11\t.\t.\t12\tCompNo\t_\tNo_rel\n12\tDUMMY\t_\t0\tCompNo\t_\troot""}"
रसअसृक्मांसमेदःअस्थिमज्जशुक्राणि धातवः (सन्ति) .,"{""tokens"": [""रस"", ""असृक्"", ""मांस"", ""मेदः"", ""अस्थि"", ""मज्ज"", ""शुक्राणि"", ""धातवः"", ""(सन्ति)"", "".""], ""compounds"": ""1\tरस-\tरस-असृक्-मांस-मेदः-अस्थि-मज्ज-शुक्राणि\t2\tComp7\t_\tइतरेतर-द्वन्द्वः\n2\tअसृक्-\t--\t3\tComp7\t_\tइतरेतर-द्वन्द्वः\n3\tमांस-\t--\t4\tComp7\t_\tइतरेतर-द्वन्द्वः\n4\tमेदः-\t--\t5\tComp7\t_\tइतरेतर-द्वन्द्वः\n5\tअस्थि-\t--\t6\tComp7\t_\tइतरेतर-द्वन्द्वः\n6\tमज्ज-\t--\t7\tComp7\t_\tइतरेतर-द्वन्द्वः\n7\tशुक्राणि\t--\t11\tComp7\t_\tComp_root\n8\tधातवः\tधातवः\t11\tCompNo\t_\tNo_rel\n9\t(सन्ति)\t(सन्ति)\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सप्त दूष्याः (सन्ति) .,"{""tokens"": [""सप्त"", ""दूष्याः"", ""(सन्ति)"", "".""], ""compounds"": ""1\tसप्त\tसप्त\t5\tCompNo\t_\tNo_rel\n2\tदूष्याः\tदूष्याः\t5\tCompNo\t_\tNo_rel\n3\t(सन्ति)\t(सन्ति)\t5\tCompNo\t_\tNo_rel\n4\t.\t.\t5\tCompNo\t_\tNo_rel\n5\tDUMMY\t_\t0\tCompNo\t_\troot""}"
मलाः मूत्रशकृत्स्वेदआदयः अपि च (सन्ति) .,"{""tokens"": [""मलाः"", ""मूत्र"", ""शकृत्"", ""स्वेद"", ""आदयः"", ""अपि"", ""च"", ""(सन्ति)"", "".""], ""compounds"": ""1\tमलाः\tमलाः\t10\tCompNo\t_\tNo_rel\n2\tमूत्र-\tमूत्र-शकृत्-स्वेद-आदयः\t3\tComp4\t_\tसमाहार-द्वन्द्वः\n3\tशकृत्-\t--\t4\tComp4\t_\tइतरेतर-द्वन्द्वः\n4\tस्वेद-\t--\t5\tComp4\t_\tषष्ठी-बहुव्रीहिः\n5\tआदयः\t--\t10\tComp4\t_\tComp_root\n6\tअपि\tअपि\t10\tCompNo\t_\tNo_rel\n7\tच\tच\t10\tCompNo\t_\tNo_rel\n8\t(सन्ति)\t(सन्ति)\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
वृद्धिः समानैः सर्वेषाम् .,"{""tokens"": [""वृद्धिः"", ""समानैः"", ""सर्वेषाम्"", "".""], ""compounds"": ""1\tवृद्धिः\tवृद्धिः\t5\tCompNo\t_\tNo_rel\n2\tसमानैः\tसमानैः\t5\tCompNo\t_\tNo_rel\n3\tसर्वेषाम्\tसर्वेषाम्\t5\tCompNo\t_\tNo_rel\n4\t.\t.\t5\tCompNo\t_\tNo_rel\n5\tDUMMY\t_\t0\tCompNo\t_\troot""}"
विपरीतैः विपर्ययः .,"{""tokens"": [""विपरीतैः"", ""विपर्ययः"", "".""], ""compounds"": ""1\tविपरीतैः\tविपरीतैः\t4\tCompNo\t_\tNo_rel\n2\tविपर्ययः\tविपर्ययः\t4\tCompNo\t_\tNo_rel\n3\t.\t.\t4\tCompNo\t_\tNo_rel\n4\tDUMMY\t_\t0\tCompNo\t_\troot""}"
रसाः स्वादुअम्ललवणतिक्तऊषणकषायकाः (सन्ति) .,"{""tokens"": [""रसाः"", ""स्वादु"", ""अम्ल"", ""लवण"", ""तिक्त"", ""ऊषण"", ""कषायकाः"", ""(सन्ति)"", "".""], ""compounds"": ""1\tरसाः\tरसाः\t10\tCompNo\t_\tNo_rel\n2\tस्वादु-\tस्वादु-अम्ल-लवण-तिक्त-ऊषण-कषायकाः\t3\tComp6\t_\tइतरेतर-द्वन्द्वः\n3\tअम्ल-\t--\t4\tComp6\t_\tइतरेतर-द्वन्द्वः\n4\tलवण-\t--\t5\tComp6\t_\tइतरेतर-द्वन्द्वः\n5\tतिक्त-\t--\t6\tComp6\t_\tइतरेतर-द्वन्द्वः\n6\tऊषण-\t--\t7\tComp6\t_\tइतरेतर-द्वन्द्वः\n7\tकषायकाः\t--\t10\tComp6\t_\tComp_root\n8\t(सन्ति)\t(सन्ति)\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
षट् द्रव्यम् आश्रिताः ते च यथापूर्वम् बलआवहाः (सन्ति) .,"{""tokens"": [""षट्"", ""द्रव्यम्"", ""आश्रिताः"", ""ते"", ""च"", ""यथा"", ""पूर्वम्"", ""बल"", ""आवहाः"", ""(सन्ति)"", "".""], ""compounds"": ""1\tषट्\tषट्\t12\tCompNo\t_\tNo_rel\n2\tद्रव्यम्\tद्रव्यम्\t12\tCompNo\t_\tNo_rel\n3\tआश्रिताः\tआश्रिताः\t12\tCompNo\t_\tNo_rel\n4\tते\tते\t12\tCompNo\t_\tNo_rel\n5\tच\tच\t12\tCompNo\t_\tNo_rel\n6\tयथा-\tयथा-पूर्वम्\t7\tComp2\t_\tअव्ययीभावः\n7\tपूर्वम्\t--\t12\tComp2\t_\tComp_root\n8\tबल-\tबल-आवहाः\t9\tComp2\t_\tउपपद-तत्पुरुषः\n9\tआवहाः\t--\t12\tComp2\t_\tComp_root\n10\t(सन्ति)\t(सन्ति)\t12\tCompNo\t_\tNo_rel\n11\t.\t.\t12\tCompNo\t_\tNo_rel\n12\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तत्र आद्याः मारुतम् घ्नन्ति त्रयः .,"{""tokens"": [""तत्र"", ""आद्याः"", ""मारुतम्"", ""घ्नन्ति"", ""त्रयः"", "".""], ""compounds"": ""1\tतत्र\tतत्र\t7\tCompNo\t_\tNo_rel\n2\tआद्याः\tआद्याः\t7\tCompNo\t_\tNo_rel\n3\tमारुतम्\tमारुतम्\t7\tCompNo\t_\tNo_rel\n4\tघ्नन्ति\tघ्नन्ति\t7\tCompNo\t_\tNo_rel\n5\tत्रयः\tत्रयः\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तिक्तआदयः कफम् (घ्नन्ति) .,"{""tokens"": [""तिक्त"", ""आदयः"", ""कफम्"", ""(घ्नन्ति)"", "".""], ""compounds"": ""1\tतिक्त-\tतिक्त-आदयः\t2\tComp2\t_\tबहुव्रीहिः\n2\tआदयः\t--\t6\tComp2\t_\tComp_root\n3\tकफम्\tकफम्\t6\tCompNo\t_\tNo_rel\n4\t(घ्नन्ति)\t(घ्नन्ति)\t6\tCompNo\t_\tNo_rel\n5\t.\t.\t6\tCompNo\t_\tNo_rel\n6\tDUMMY\t_\t0\tCompNo\t_\troot""}"
कषायतिक्तमधुराः पित्तम् (घ्नन्ति) .,"{""tokens"": [""कषाय"", ""तिक्त"", ""मधुराः"", ""पित्तम्"", ""(घ्नन्ति)"", "".""], ""compounds"": ""1\tकषाय-\tकषाय-तिक्त-मधुराः\t2\tComp3\t_\tइतरेतर-द्वन्द्वः\n2\tतिक्त-\t--\t3\tComp3\t_\tइतरेतर-द्वन्द्वः\n3\tमधुराः\t--\t7\tComp3\t_\tComp_root\n4\tपित्तम्\tपित्तम्\t7\tCompNo\t_\tNo_rel\n5\t(घ्नन्ति)\t(घ्नन्ति)\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अन्ये तु कुर्वते .,"{""tokens"": [""अन्ये"", ""तु"", ""कुर्वते"", "".""], ""compounds"": ""1\tअन्ये\tअन्ये\t5\tCompNo\t_\tNo_rel\n2\tतु\tतु\t5\tCompNo\t_\tNo_rel\n3\tकुर्वते\tकुर्वते\t5\tCompNo\t_\tNo_rel\n4\t.\t.\t5\tCompNo\t_\tNo_rel\n5\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शमनम् कोपनम् स्वस्थहितम् द्रव्यम् इति त्रिधा (अस्ति) .,"{""tokens"": [""शमनम्"", ""कोपनम्"", ""स्वस्थ"", ""हितम्"", ""द्रव्यम्"", ""इति"", ""त्रिधा"", ""(अस्ति)"", "".""], ""compounds"": ""1\tशमनम्\tशमनम्\t10\tCompNo\t_\tNo_rel\n2\tकोपनम्\tकोपनम्\t10\tCompNo\t_\tNo_rel\n3\tस्वस्थ-\tस्वस्थ-हितम्\t4\tComp2\t_\tचतुर्थी-तत्पुरुषः\n4\tहितम्\t--\t10\tComp2\t_\tComp_root\n5\tद्रव्यम्\tद्रव्यम्\t10\tCompNo\t_\tNo_rel\n6\tइति\tइति\t10\tCompNo\t_\tNo_rel\n7\tत्रिधा\tत्रिधा\t10\tCompNo\t_\tNo_rel\n8\t(अस्ति)\t(अस्ति)\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
उष्णशीतगुणउत्कर्षात् तत्र वीर्यम् द्विधा स्मृतम् .,"{""tokens"": [""उष्ण"", ""शीत"", ""गुण"", ""उत्कर्षात्"", ""तत्र"", ""वीर्यम्"", ""द्विधा"", ""स्मृतम्"", "".""], ""compounds"": ""1\tउष्ण-\tउष्ण-शीत-गुण-उत्कर्षात्\t2\tComp4\t_\tइतरेतर-द्वन्द्वः\n2\tशीत-\t--\t3\tComp4\t_\tकर्मधारयः\n3\tगुण-\t--\t4\tComp4\t_\tषष्ठी-तत्पुरुषः\n4\tउत्कर्षात्\t--\t10\tComp4\t_\tComp_root\n5\tतत्र\tतत्र\t10\tCompNo\t_\tNo_rel\n6\tवीर्यम्\tवीर्यम्\t10\tCompNo\t_\tNo_rel\n7\tद्विधा\tद्विधा\t10\tCompNo\t_\tNo_rel\n8\tस्मृतम्\tस्मृतम्\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
त्रिधा विपाकः द्रव्यस्य स्वादुअम्लकटुकआत्मकः (अस्ति) .,"{""tokens"": [""त्रिधा"", ""विपाकः"", ""द्रव्यस्य"", ""स्वादु"", ""अम्ल"", ""कटुक"", ""आत्मकः"", ""(अस्ति)"", "".""], ""compounds"": ""1\tत्रिधा\tत्रिधा\t10\tCompNo\t_\tNo_rel\n2\tविपाकः\tविपाकः\t10\tCompNo\t_\tNo_rel\n3\tद्रव्यस्य\tद्रव्यस्य\t10\tCompNo\t_\tNo_rel\n4\tस्वादु-\tस्वादु-अम्ल-कटुक-आत्मकः\t5\tComp4\t_\tइतरेतर-द्वन्द्वः\n5\tअम्ल-\t--\t6\tComp4\t_\tइतरेतर-द्वन्द्वः\n6\tकटुक-\t--\t7\tComp4\t_\tषष्ठी-बहुव्रीहिः\n7\tआत्मकः\t--\t10\tComp4\t_\tComp_root\n8\t(अस्ति)\t(अस्ति)\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सविपर्ययाः ससूक्ष्मविशदाः गुरुमन्दहिमस्निग्धश्लक्ष्णसान्द्रमृदुस्थिराः विंशतिः गुणाः (सन्ति) .,"{""tokens"": [""स"", ""विपर्ययाः"", ""स"", ""सूक्ष्म"", ""विशदाः"", ""गुरु"", ""मन्द"", ""हिम"", ""स्निग्ध"", ""श्लक्ष्ण"", ""सान्द्र"", ""मृदु"", ""स्थिराः"", ""विंशतिः"", ""गुणाः"", ""(सन्ति)"", "".""], ""compounds"": ""1\tस-\tस-विपर्ययाः\t2\tComp2\t_\tसहपूर्वपद-व्यधिकरण-बहुव्रीहिः\n2\tविपर्ययाः\t--\t18\tComp2\t_\tComp_root\n3\tस-\tस-सूक्ष्म-विशदाः\t4\tComp3\t_\tसहपूर्वपद-व्यधिकरण-बहुव्रीहिः\n4\tसूक्ष्म-\t--\t5\tComp3\t_\tइतरेतर-द्वन्द्वः\n5\tविशदाः\t--\t18\tComp3\t_\tComp_root\n6\tगुरु-\tगुरु-मन्द-हिम-स्निग्ध-श्लक्ष्ण-सान्द्र-मृदु-स्थिराः\t7\tComp8\t_\tइतरेतर-द्वन्द्वः\n7\tमन्द-\t--\t8\tComp8\t_\tइतरेतर-द्वन्द्वः\n8\tहिम-\t--\t9\tComp8\t_\tइतरेतर-द्वन्द्वः\n9\tस्निग्ध-\t--\t10\tComp8\t_\tइतरेतर-द्वन्द्वः\n10\tश्लक्ष्ण-\t--\t11\tComp8\t_\tइतरेतर-द्वन्द्वः\n11\tसान्द्र-\t--\t12\tComp8\t_\tइतरेतर-द्वन्द्वः\n12\tमृदु-\t--\t13\tComp8\t_\tइतरेतर-द्वन्द्वः\n13\tस्थिराः\t--\t18\tComp8\t_\tComp_root\n14\tविंशतिः\tविंशतिः\t18\tCompNo\t_\tNo_rel\n15\tगुणाः\tगुणाः\t18\tCompNo\t_\tNo_rel\n16\t(सन्ति)\tसन्ति\t18\tCompNo\t_\tNo_rel\n17\t.\t.\t18\tCompNo\t_\tNo_rel\n18\tDUMMY\t_\t0\tCompNo\t_\troot""}"
कालअर्थकर्मणाम् योगः हीनमिथ्याअतिमात्रकः (विज्ञेयः) रोगएककारणम् .,"{""tokens"": [""काल"", ""अर्थ"", ""कर्मणाम्"", ""योगः"", ""हीन"", ""मिथ्या"", ""अति"", ""मात्रकः"", ""(विज्ञेयः)"", ""रोग"", ""एक"", ""कारणम्"", "".""], ""compounds"": ""1\tकाल-\tकाल-अर्थ-कर्मणाम्\t2\tComp3\t_\tइतरेतर-द्वन्द्वः\n2\tअर्थ-\t--\t3\tComp3\t_\tइतरेतर-द्वन्द्वः\n3\tकर्मणाम्\t--\t14\tComp3\t_\tComp_root\n4\tयोगः\tयोगः\t14\tCompNo\t_\tNo_rel\n5\tहीन-\tहीन-मिथ्या-अति-मात्रकः\t6\tComp4\t_\tइतरेतर-द्वन्द्वः\n6\tमिथ्या-\t--\t7\tComp4\t_\tइतरेतर-द्वन्द्वः\n7\tअति-\t--\t8\tComp4\t_\tबहुव्रीहिः\n8\tमात्रकः\t--\t14\tComp4\t_\tComp_root\n9\t(विज्ञेयः)\t(विज्ञेयः)\t14\tCompNo\t_\tNo_rel\n10\tरोग-\tरोग-एक-कारणम्\t11\tComp3\t_\tषष्ठी-तत्पुरुषः\n11\tएक-\t--\t12\tComp3\t_\tकर्मधारयः\n12\tकारणम्\t--\t14\tComp3\t_\tComp_root\n13\t.\t.\t14\tCompNo\t_\tNo_rel\n14\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सम्यक् योगः च विज्ञेयः आरोग्यएककारणम् .,"{""tokens"": [""सम्यक्"", ""योगः"", ""च"", ""विज्ञेयः"", ""आरोग्य"", ""एक"", ""कारणम्"", "".""], ""compounds"": ""1\tसम्यक्\tसम्यक्\t9\tCompNo\t_\tNo_rel\n2\tयोगः\tयोगः\t9\tCompNo\t_\tNo_rel\n3\tच\tच\t9\tCompNo\t_\tNo_rel\n4\tविज्ञेयः\tविज्ञेयः\t9\tCompNo\t_\tNo_rel\n5\tआरोग्य-\tआरोग्य-एक-कारणम्\t6\tComp3\t_\tषष्ठी-तत्पुरुषः\n6\tएक-\t--\t7\tComp3\t_\tकर्मधारयः\n7\tकारणम्\t--\t9\tComp3\t_\tComp_root\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
रोगः तु दोषवैषम्यम् (भवति) .,"{""tokens"": [""रोगः"", ""तु"", ""दोष"", ""वैषम्यम्"", ""(भवति)"", "".""], ""compounds"": ""1\tरोगः\tरोगः\t7\tCompNo\t_\tNo_rel\n2\tतु\tतु\t7\tCompNo\t_\tNo_rel\n3\tदोष-\tदोष-वैषम्यम्\t4\tComp2\t_\tषष्ठी-तत्पुरुषः\n4\tवैषम्यम्\t--\t7\tComp2\t_\tComp_root\n5\t(भवति)\t(भवति)\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
दोषसाम्यम् अरोगता (भवति) .,"{""tokens"": [""दोष"", ""साम्यम्"", ""अ"", ""रोगता"", ""(भवति)"", "".""], ""compounds"": ""1\tदोष-\tदोष-साम्यम्\t2\tComp2\t_\tषष्ठी-तत्पुरुषः\n2\tसाम्यम्\t--\t7\tComp2\t_\tComp_root\n3\tअ-\tअ-रोगता\t4\tComp2\t_\tनञ्-तत्पुरुषः\n4\tरोगता\t--\t7\tComp2\t_\tComp_root\n5\t(भवति)\t(भवति)\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
